                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2111,                 5.2206,                 1.8826,                0.01734,                0.84173,                0.11715,                0.07348,                0.93538,                 3.9847,                 1.8618,             0.00010983,             0.00010983,             0.00010983
                      2,                0.99154,                 4.4087,                 1.6599,                0.22841,                0.38585,                0.29779,                0.20893,                 1.0438,                 3.0141,                 1.8911,              0.0002201,              0.0002201,              0.0002201
                      3,                0.99593,                 3.8643,                 1.6452,                0.27554,                0.67122,                0.50277,                0.32759,                 1.2142,                 3.2113,                 2.1239,             0.00032964,             0.00032964,             0.00032964
                      4,                0.94411,                  3.411,                 1.5813,                0.43779,                0.51502,                0.48743,                0.31418,                 1.2685,                 2.6185,                 2.0828,              0.0003297,              0.0003297,              0.0003297
                      5,                0.91301,                 3.0582,                  1.547,                0.53745,                0.64618,                0.65919,                0.45311,                 1.1506,                 2.0519,                 1.9344,              0.0003297,              0.0003297,              0.0003297
                      6,                0.90883,                 2.8017,                 1.5252,                0.68857,                0.65046,                0.70829,                0.55447,                0.94604,                 1.5857,                 1.7212,              0.0003286,              0.0003286,              0.0003286
                      7,                0.88053,                 2.5661,                 1.4977,                0.63956,                0.65692,                0.75588,                0.57341,                0.97469,                  1.577,                 1.7507,             0.00032751,             0.00032751,             0.00032751
                      8,                0.85032,                 2.3358,                 1.4643,                0.58266,                0.75657,                0.76588,                0.53752,                 1.1528,                 1.5931,                 1.9465,             0.00032641,             0.00032641,             0.00032641
                      9,                0.84538,                 2.1955,                 1.4496,                0.65601,                 0.6268,                0.71656,                0.50535,                 1.1619,                 1.5518,                 1.9677,             0.00032531,             0.00032531,             0.00032531
                     10,                0.84728,                 2.0854,                 1.4673,                0.74315,                0.67336,                0.81537,                0.61569,                 1.0417,                  1.271,                 1.8255,             0.00032421,             0.00032421,             0.00032421
                     11,                0.81495,                 1.9535,                 1.4299,                0.74002,                0.74592,                0.82724,                0.64661,                0.95851,                 1.2443,                 1.7208,             0.00032311,             0.00032311,             0.00032311
                     12,                0.80256,                 1.8546,                 1.4147,                0.74415,                0.77037,                0.87203,                0.66003,                 1.0109,                 1.2507,                 1.8074,             0.00032201,             0.00032201,             0.00032201
                     13,                0.80132,                  1.796,                 1.4088,                0.77739,                0.66414,                0.84009,                0.65754,                0.91258,                 1.2801,                 1.6648,             0.00032091,             0.00032091,             0.00032091
                     14,                0.79314,                  1.704,                 1.4111,                0.73226,                0.78032,                0.85618,                0.65103,                 1.0073,                 1.2344,                 1.8392,             0.00031981,             0.00031981,             0.00031981
                     15,                0.79769,                 1.6258,                 1.4156,                0.80661,                0.70661,                0.85396,                0.66775,                0.93749,                 1.0927,                 1.7627,             0.00031871,             0.00031871,             0.00031871
                     16,                0.78181,                 1.5631,                 1.3893,                0.82207,                0.72026,                0.87357,                0.68771,                0.92715,                 1.1025,                 1.7156,             0.00031762,             0.00031762,             0.00031762
                     17,                0.78251,                 1.5075,                  1.395,                0.80058,                0.77521,                0.89827,                0.68891,                0.96773,                 1.0481,                 1.7385,             0.00031652,             0.00031652,             0.00031652
                     18,                0.75441,                 1.4285,                 1.3626,                0.82476,                0.72654,                0.87871,                0.66939,                 1.0121,                 1.1335,                 1.8093,             0.00031542,             0.00031542,             0.00031542
                     19,                0.75515,                 1.3838,                 1.3596,                0.83902,                0.81922,                0.89538,                0.70582,                0.92359,                0.90484,                 1.6814,             0.00031432,             0.00031432,             0.00031432
                     20,                0.75382,                  1.361,                 1.3624,                 0.8107,                0.77498,                0.87691,                0.68546,                 0.9504,                0.99178,                 1.7085,             0.00031322,             0.00031322,             0.00031322
                     21,                0.75992,                 1.3371,                 1.3623,                0.85198,                0.81635,                0.91475,                 0.7038,                0.94814,                0.88565,                  1.742,             0.00031212,             0.00031212,             0.00031212
                     22,                0.75735,                  1.302,                 1.3589,                0.86652,                0.76866,                  0.903,                0.69412,                0.99421,                0.90802,                 1.8361,             0.00031102,             0.00031102,             0.00031102
                     23,                0.74065,                 1.2354,                 1.3401,                0.80513,                0.80563,                0.87177,                0.64819,                  1.083,                 1.0363,                 1.9433,             0.00030992,             0.00030992,             0.00030992
                     24,                 0.7473,                 1.2414,                 1.3561,                0.82136,                0.82136,                0.90179,                0.70603,                0.88961,                0.87156,                 1.6631,             0.00030882,             0.00030882,             0.00030882
                     25,                0.73314,                 1.2021,                 1.3385,                0.75806,                0.83974,                0.90019,                 0.6308,                 1.1893,                0.96873,                 2.1291,             0.00030773,             0.00030773,             0.00030773
                     26,                0.70682,                 1.1308,                 1.3189,                0.81177,                0.81418,                0.88177,                0.68322,                0.94878,                0.93948,                 1.7289,             0.00030663,             0.00030663,             0.00030663
                     27,                0.70646,                 1.1398,                  1.313,                0.79892,                0.78944,                0.89626,                0.68955,                0.96789,                0.96234,                 1.7912,             0.00030553,             0.00030553,             0.00030553
